id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
170550,1705508, Colinas do Tocantins,Colinas do Tocantins,TO,35424,11,,12,,2,2,1,69,69,
170555,1705557,,Combinado,TO,4852,,,4,,,,,,,
170560,1705607,,Conceição do Tocantins,TO,4105,,,1,,,,,,,
170600,1706001,,Couto Magalhães,TO,5588,1,,3,,,,,,,
170610,1706100, Cristalândia,Cristalândia,TO,7289,5,,3,,,,,7,7,
170625,1706258,,Crixás do Tocantins,TO,1722,1,,2,,,,,,,
170650,1706506,,Darcinópolis,TO,6097,,,3,,,,,,,
170700,1707009, Dianópolis,Dianópolis,TO,22139,7,,22,,1,1,1,39,39,
170710,1707108, Divinópolis do Tocantins,Divinópolis do Tocantins,TO,6900,5,,6,1,,,,15,15,
170720,1707207, Dois Irmãos do Tocantins,Dois Irmãos do Tocantins,TO,7198,2,,4,,,,,9,9,
170730,1707306, Dueré,Dueré,TO,4686,2,,3,,,,,12,5,7
170740,1707405,,Esperantina,TO,10996,1,,2,,,,,,,
170755,1707553,,Fátima,TO,3835,2,,3,,,,,,,
170765,1707652, Figueirópolis,Figueirópolis,TO,5263,2,,4,,,,,5,5,
170770,1707702, Filadélfia,Filadélfia,TO,8856,1,,5,,1,1,1,,,
170820,1708205, Formoso do Araguaia,Formoso do Araguaia,TO,18440,4,,12,,,,,40,40,
170825,1708254,,Fortaleza do Tabocão,TO,2589,,,7,,,,,,,
170830,1708304,,Goianorte,TO,5123,3,,2,,,,,,,
170900,1709005, Goiatins,Goiatins,TO,13019,1,,5,,,,,10,10,
170930,1709302, Guaraí,Guaraí,TO,25923,14,,39,,3,3,1,57,57,
170950,1709500, Gurupi,Gurupi,TO,86647,113,,162,1,30,30,2,237,101,136
170980,1709807,,Ipueiras,TO,2015,,,1,,,,,,,
171050,1710508, Itacajá,Itacajá,TO,7433,4,,7,,,,,27,27,
171070,1710706, Itaguatins,Itaguatins,TO,5864,,,1,,1,1,1,,,
171090,1710904,,Itapiratins,TO,3777,,,,,,,,,,
171110,1711100,,Itaporã do Tocantins,TO,2427,,,1,,,,,,,
171150,1711506,,Jaú do Tocantins,TO,3849,,,,,,,,,,
171180,1711803,,Juarina,TO,2193,,,1,,,,,,,
171190,1711902, Lagoa da Confusão,Lagoa da Confusão,TO,13357,1,,7,,,,,30,30,
171195,1711951,,Lagoa do Tocantins,TO,4316,,,2,,,,,,,
171200,1712009,,Lajeado,TO,3134,3,,4,,,,,,,
171215,1712157,,Lavandeira,TO,1923,1,,1,,,,,,,
171240,1712405,,Lizarda,TO,3740,,,1,,,,,,,
171245,1712454,,Luzinópolis,TO,3108,,,2,,,,,,,
171250,1712504, Marianópolis do Tocantins,Marianópolis do Tocantins,TO,5175,,,,,2,2,1,,,
171270,1712702,,Mateiros,TO,2684,,,1,,,,,,,
171280,1712801,,Maurilândia do Tocantins,TO,3426,,,4,,,,,,,
171320,1713205, Miracema do Tocantins,Miracema do Tocantins,TO,18248,28,,43,,3,3,1,69,69,
171330,1713304, Miranorte,Miranorte,TO,13434,3,,10,,,,,20,20,
171360,1713601, Monte do Carmo,Monte do Carmo,TO,7947,2,,4,,,,,5,5,
171370,1713700,,Monte Santo do Tocantins,TO,2279,,,,,,,,,,
171380,1713809,,Palmeiras do Tocantins,TO,6658,1,,3,,,,,,,
171395,1713957,,Muricilândia,TO,3551,,,3,,,,,,,
171420,1714203, Natividade,Natividade,TO,9244,3,,11,,,,,9,9,
171430,1714302,,Nazaré,TO,3898,,,,,,,,,,
171488,1714880, Nova Olinda,Nova Olinda,TO,11819,1,,3,,1,1,1,,,
171500,1715002,,Nova Rosalândia,TO,4260,4,,4,,,,,,,
171510,1715101, Novo Acordo,Novo Acordo,TO,4342,,,2,,1,1,1,,,
171515,1715150,,Novo Alegre,TO,2332,,,4,,,,,,,
171525,1715259,,Novo Jardim,TO,2722,,,2,,,,,,,
171550,1715507,,Oliveira de Fátima,TO,1112,,,,,,,,,,
171570,1715705,,Palmeirante,TO,6026,1,,,,,,,,,
171575,1715754, Palmeirópolis,Palmeirópolis,TO,7659,3,,5,,,,,24,24,
171610,1716109, Paraíso do Tocantins,Paraíso do Tocantins,TO,51252,48,,56,,6,6,1,131,88,43
171620,1716208, Paranã,Paranã,TO,10449,1,,6,,,,,24,24,
171630,1716307,,Pau D'Arco,TO,4849,,,1,,,,,,,
171650,1716505, Pedro Afonso,Pedro Afonso,TO,13578,15,,19,,1,,1,31,31,
171660,1716604, Peixe,Peixe,TO,11749,1,,8,,,,,46,46,
171665,1716653,,Pequizeiro,TO,5477,,,4,,,,,,,
171670,1716703, Colméia,Colméia,TO,8205,3,,7,,,,,21,21,
171700,1717008, Pindorama do Tocantins,Pindorama do Tocantins,TO,4447,1,,4,,,,,6,6,
171720,1717206,,Piraquê,TO,3028,1,,1,,,,,,,
171750,1717503, Pium,Pium,TO,7654,6,,4,,1,1,1,5,5,
171780,1717800,,Ponte Alta do Bom Jesus,TO,4596,1,,4,,,,,,,
171790,1717909, Ponte Alta do Tocantins,Ponte Alta do Tocantins,TO,8039,1,,6,,,,,7,7,
171800,1718006,,Porto Alegre do Tocantins,TO,3139,,,2,,,,,,,
171820,1718204, Porto Nacional,Porto Nacional,TO,53010,61,,151,2,8,8,4,173,173,
171830,1718303,,Praia Norte,TO,8432,1,,1,,,,,,,
171840,1718402,,Presidente Kennedy,TO,3684,,,3,,,,,,,
171845,1718451,,Pugmil,TO,2688,,,1,,,,,,,
171850,1718501,,Recursolândia,TO,4293,,,,,,,,,,
171855,1718550,,Riachinho,TO,4645,,,,,,,,,,
171865,1718659,,Rio da Conceição,TO,2130,,,1,,,,,,,
171870,1718709,,Rio dos Bois,TO,2834,,,2,,,,,,,
171875,1718758,,Rio Sono,TO,6478,1,,1,,,,,,,
171880,1718808,,Sampaio,TO,4711,,,1,,,,,,,
171884,1718840,,Sandolândia,TO,3375,,,1,,,,,,,
171886,1718865,,Santa Fé do Araguaia,TO,7512,2,,3,,,,,,,
171888,1718881,,Santa Maria do Tocantins,TO,3434,,,,,,,,,,
171889,1718899,,Santa Rita do Tocantins,TO,2365,,,1,,,,,,,
171890,1718907,,Santa Rosa do Tocantins,TO,4829,,,3,,,,,,,
171900,1719004,,Santa Tereza do Tocantins,TO,2866,,,2,,,,,,,
172000,1720002,,Santa Terezinha do Tocantins,TO,2529,1,,,,,,,,,
172010,1720101,,São Bento do Tocantins,TO,5324,,,1,,,,,,,
172015,1720150,,São Félix do Tocantins,TO,1585,,,2,,,,,,,
172020,1720200,,São Miguel do Tocantins,TO,12139,,,3,,,,,,,
172025,1720259,,São Salvador do Tocantins,TO,3082,,,1,,,,,,,
172030,1720309,,São Sebastião do Tocantins,TO,4805,,,2,,,,,,,
172049,1720499,,São Valério,TO,3960,,,3,,,,,,,
